IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
c5593531-f722-4e03-ae66-a0bcc9f70558,78594638-6ea2-4bd2-b8ca-371494d952a7,ozone depletion no LT,Ozone depletion
31fccafa-e725-4c36-9ade-193ed8cfa037,a0eb6ad1-a4aa-47aa-a80e-a94961846fc7,"energy resources: non-renewable, fossil",abiotic resources
8d02ecc9-5530-47e7-b953-725c6838717c,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: biogenic (excl. CO2),climate change
316849c4-eaa6-42f6-a0f6-bd656746345d,08618be5-a881-4be2-8849-47eb6b2b35d4,climate change: biogenic emissions (incl. CO2) no LT,climate change
0c21ed81-a56f-4425-ae61-41c0e2fa2a6f,08618be5-a881-4be2-8849-47eb6b2b35d4,climate change: total (incl. biogenic CO2) no LT,climate change
3f503dbd-4830-4213-8ce5-96295e2d40ba,e57693cf-ed07-416c-8831-58f044f1bd76,"climate change: fossil (excl. biogenic CO2, incl. SLCFs) no LT",climate change
15a0586e-023a-49f3-a2a4-a54cbdf0cbb2,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
c452835f-e57e-4f9c-ae42-d1f6055e5169,87a57579-d6c4-477c-a327-f863804a15aa,ecosystem quality,Terrestrial ecosystems
8442ded2-14c0-427e-a3cd-fb90bb83d54a,b42b5d7d-371c-4c00-a601-cf9572670e00,human health no LT,
76c6faad-21b7-44b3-b052-e2874619e580,4d9ac60a-73ab-40cf-bc71-d967ef59865e,total: natural resources,
87d735a7-40ee-411f-bf77-ece57d69f5de,3b556c4d-862e-4fef-b735-ce7bd31a0217,acidification: terrestrial,Terrestrial acidification
310437d0-f9a7-42c6-b775-9646e755df91,3b556c4d-862e-4fef-b735-ce7bd31a0217,ozone depletion,Ozone depletion
0cb2a90a-6fe1-457a-8e13-8742c1cec589,3b556c4d-862e-4fef-b735-ce7bd31a0217,particulate matter formation,Fine particulate matter formation
ecb51a21-a204-4395-b62e-a14ca667b47b,81928238-d7ba-45fc-9f28-af354c2b7dd3,water use no LT,
e2881782-4423-457a-8fba-1bb95387ce58,7c75c405-5084-429a-9edf-3f1d1fefad82,ecotoxicity: freshwater,Ecotoxicity
e03a0185-5198-4042-95e8-d209b9d2cdc1,24cd9adc-bbf8-49bc-a452-7f57073d7c6f,ecotoxicity: freshwater no LT,
857dfb00-ca67-44a0-844f-c5bb1e119d3c,abe1bab4-939a-41ea-bf79-6db62d2c8a93,ecotoxicity: freshwater,Freshwater aquatic ecotoxicity
9c42c396-b21a-4cc5-a752-720537b47306,4c67589f-536d-484e-aa38-a2d5fe0e1e0d,ecotoxicity: freshwater no LT,Freshwater aquatic ecotoxicity
0ab55f9e-ddc9-4dca-9819-322efc6953fb,2866e7bc-b77a-4e03-bd91-811890e254c0,net use of fresh water,
