PCR,DATABASE_VERSION,COMPANY_CODE,ITEM_CODE,ITEM_NAME,UNIT_PROCESS_ID,CONVERSION_FACTOR
CONS,ecoinvent-v3.11,TA,11135,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,11261,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,11416,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,11432,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,1256,,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,TA,14930,氧化铬-薄板,fbbcb5bf-f880-42db-bcc4-893036ae65e2,1.0000000000
CONS,ecoinvent-v3.11,TA,62150,DCL清洗剂,2ec7760d-e523-4b31-a139-34495a0d3c72,1.0000000000
CONS,ecoinvent-v3.11,TA,12510,硅锰,beba5da8-0617-4773-8273-2feb0f7d2536,1.0000000000
CONS,ecoinvent-v3.11,ZG,04058,,46dcfaeb-e106-4e4a-aba1-f310431cd901,1.0000000000
CONS,ecoinvent-v3.11,ZG,05117,,07ea1a74-4ea9-49e5-b034-73cf1d959280,1.0000000000
CONS,ecoinvent-v3.11,ZG,10308,粉矿-智利精粉,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,ZG,12130,委托申翰加工生石灰,c99a8731-cf4d-4cac-af1b-33740646087f,1.0000000000
CONS,ecoinvent-v3.11,TA,10160,主原料筛下粉-印度库特纳姆筛,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,TA,103C2,粉矿-巴西SFGB高硅粉矿      ,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,TA,1445,,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
CONS,ecoinvent-v3.11,TA,14710,聚酯类涂料-2#彩涂,e4fe5bc1-acb6-4814-9830-3cbbbab5a8c3,1.0000000000
CONS,ecoinvent-v3.11,TA,65741,,b49cc63c-6081-4d61-ae9c-c7e93b3a0b00,1.0000000000
CONS,ecoinvent-v3.11,TA,59223,,8e45d656-3e22-4709-9358-9a961701d097,1.0000000000
CONS,ecoinvent-v3.11,TA,CAC2,,6c5b64ee-b711-403b-a4a7-4f1916921893,1.0000000000
CONS,ecoinvent-v3.11,TA,12310,,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,TA,1425,,1c90792e-c495-490e-9907-a94cd6a25d1e,1.0000000000
CONS,ecoinvent-v3.11,TA,40710,,46dcfaeb-e106-4e4a-aba1-f310431cd901,1.0000000000
CONS,ecoinvent-v3.11,TA,58390,,9a07fea9-8631-4621-883a-6807e058f5df,1.0000000000
CONS,ecoinvent-v3.11,TA,C-LN,,46dcfaeb-e106-4e4a-aba1-f310431cd901,1.0000000000
CONS,ecoinvent-v3.11,TA,11348,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,YJ023,,4246a325-234d-4810-8a30-8f65e78539fb,1.0000000000
CONS,ecoinvent-v3.11,ZG,05026,,be7ed2d3-e5ed-4cf3-985e-095c1f7bc7db,1.0000000000
CONS,ecoinvent-v3.11,ZG,12513,铝铁,3bdd2e55-e55b-4adb-ab71-4b2a32a7feff,1.0000000000
CONS,ecoinvent-v3.11,TA,63500,防锈油,2ec7760d-e523-4b31-a139-34495a0d3c72,1.0000000000
CONS,ecoinvent-v3.11,ZG,05186,,46dcfaeb-e106-4e4a-aba1-f310431cd901,1.0000000000
CONS,ecoinvent-v3.11,ZG,02029,,db86395e-b827-4339-a1bb-d139d149ef54,1.0000000000
